name,lecture_length,duration,level,price,sale_price,rating,num_rating
Learn Python Programming Masterclass,411,58.5,All Levels,109.99,14.99,4.5,59322
The Python Mega Course: Build 10 Real World Applications,277,25.5,All Levels,109.99,15.99,4.5,42978
Python for Beginners: Learn Python Programming (Python 3),78,3.0,All Levels,99.99,13.99,4.4,10699
The Python Bible™ | Everything You Need to Program in Python,74,9.0,Beginner,94.99,12.99,4.6,29646
Python for Absolute Beginners,89,3.0,Beginner,49.99,13.99,4.4,17533
The Complete Python Course | Learn Python by Doing,343,35.5,All Levels,94.99,12.99,4.6,11080
Python for Finance: Investment Fundamentals & Data Analytics,111,8.5,All Levels,109.99,14.99,4.5,18037
Python for Beginners with Examples,83,4.5,Beginner,59.99,14.99,4.4,8730
Python Bootcamp 2020 Build 15 working Applications and Games,378,32.0,All Levels,109.99,15.99,4.3,7292
Python OOP : Four Pillars of OOP in Python 3 for Beginners,25,2.5,Beginner,99.99,14.99,4.5,6671
The Complete Python Masterclass: Learn Python From Scratch,344,33.5,All Levels,94.99,12.99,4.4,5623
Complete Python Web Course: Build 8 Python Web Apps,160,15.5,All Levels,109.99,15.99,4.4,4299
Python Coding MADE EASY : A Python Coding Course in Python 3,20,2.0,Beginner,19.99,13.99,4.7,2432
Python for beginners - Learn all the basics of python,29,5.0,Beginner,94.99,12.99,4.3,3732
Selenium Python Automation Testing from Scratch + Frameworks,130,18.5,All Levels,99.99,14.99,4.6,4262
Complete Python programming-Python Basics to Advanced Python,89,7.0,All Levels,94.99,12.99,4.0,1386
The Complete Python Programmer Bootcamp 2020,172,13.0,All Levels,109.99,15.99,4.6,2561
[BESTSELLER]™ Python Data Analysis & Visualization Bootcamp,45,8.0,Beginner,24.99,,4.5,3016
Python for Beginners - Beginner Friendly Python in 100 Steps,139,11.0,Beginner,94.99,12.99,4.5,2237
Learn to Code with Python,406,58.0,All Levels,19.99,13.99,4.7,2540
Complete Python 3 Masterclass Journey,108,10.5,All Levels,99.99,14.99,4.5,2442
Python Beyond the Basics - Object-Oriented Programming,55,5.0,Intermediate,49.99,15.99,4.2,2623
Python - The Practical Guide,230,17.5,All Levels,109.99,15.99,4.6,3506
PYTHON - A to Z Full Course for Beginners,250,25.0,All Levels,19.99,13.99,3.7,1191
Learn Python: The Complete Python Programming Course,146,14.5,All Levels,99.99,14.99,4.2,1623
Learn to Code with Python 3!,78,17.5,All Levels,94.99,12.99,4.1,2768
Python for Programmers,84,6.0,All Levels,89.99,14.99,4.5,1397
Python Programming for Beginners in Data Science,105,14.0,Beginner,49.99,12.99,4.3,2555
Python Programming Beginners Tutorial : Python 3 Programming,100,13.5,Beginner,94.99,12.99,4.2,1789
Python 3 For Beginners in 2020!,80,6.0,All Levels,94.99,12.99,4.3,1327
